...ဖြစ်စေ...ဖြစ်စေ	... ဖြစ် စေ... ဖြစ် စေ	... hpji' sei ... hpji' se...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... si...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... zi...လို...ငြား	... လို... ငြား	... lou ... njaကကတစ်	က က တစ်	ka. ga- diကကတိုး	က က တိုး	ka. ga- douကကုသန်	က ကု သန်	ka. ku. thaကကုသန်	က ကု သန်	kau' ka- thaကကူရံ	က ကူ ရံ	ka. ku janကကြိုး	က ကြိုး	ka. gyou:ကကြိုးတန်ဆာ	က ကြိုး တန် ဆာ	ka. gyou: da- zaကကြီကကြောင်လုပ်	က ကြီ က ကြောင် လုပ်	ga- gyi ga- gyaun lou'ကကြီး	က ကြီး	ka. gyi:ကကြီးထွန်	က ကြီး ထွန်	ka. gyi: htunကကွက်	က ကွက်	ka. gwe'ကချလာ	က ချ လာ	ka- cha- la-ကချင်	က ချင်	ka- chinကချေသည်	က ချေ သည်	ka. gyei dheကချော်ကချွတ်	က ချော် က ချွတ်	ka- cho ka- chu'ကစဉ့်ကရဲ	က စဉ့် က ရဲ	ga- zin. ga je:ကစဉ့်ကလျား	က စဉ့် က လျား	ga- zin. ga- ja:ကစား	က စား	ga- za:ကစားကွက်	က စား ကွက်	ga- za: gwe'ကစားကွင်း	က စား ကွင်း	ga- za: gwin:ကစားခုန်စား	က စား ခုန် စား	ga- za: khoun za:ကစားစရာ	က စား စ ရာ	ga- za: za- jaကစားဒိုင်	က စား ဒိုင်	ga- za: dainကစားဖော်	က စား ဖော်	ga- za: boကစားဝိုင်း	က စား ဝိုင်း	ga- za: wain:ကစားသမား	က စား သ မား	ga- za: dha- ma:ကစိန်းကဝါး	က စိန်း က ဝါး	ga- zein: ga- wa:ကစိုကရွား	က စို က ရွား	ga- zou ga- jwa:ကစီ	က စီ	ga- ziကစီဓာတ်	က စီ ဓာတ်	ga- zi da'ကစော့ခါး	က စော့ ခါး	ga- zo. ga:ကစော်	က စော်	ga- zoကဆုန်	က ဆုန်	ka- hsounကဆုန်ပေါက်	က ဆုန် ပေါက်	ka- hsoun pau'ကဇာတ်	က ဇာတ်	ka. za'ကည	က ည	ka- nja.ကညင်	က ညင်	ka- njinကညင်ဆီ	က ညင် ဆီ	ka- njin ziကညင်ဆီတိုင်	က ညင် ဆီ တိုင်	ka- njin zi dainကညစ်	က ညစ်	ka- nji'ကညာ	က ညာ	ka- njaကညာစစ်	က ညာ စစ်	ka- nja si'ကညာမြှေး	က ညာ မြှေး	ka- nja mhjei:ကညို့	က ညို့	ka- njou.ကညွတ်	က ညွတ်	ka- nju'ကဏန်း	က ဏန်း	ga- nan:ကဏန်းမြင်း	က ဏန်း မြင်း	ga- nan: mjin:ကဏန်းလက်မ	က ဏန်း လက် မ	ga- nan: le' ma.ကတညုတ	က တ ညု တ	ka- tin nju. ta.ကတင်	က တင်	ka- tinကတင်	က တင်	ka. tinကတည်းက	က တည်း က	ga- de: ga.ကတတ်ငန်း	က တတ် ငန်း	ga- da' ngan:ကတမ်းကရမ်း	က တမ်း က ရမ်း	ga- dan: ga- jan:ကတိ	က တိ	ga- di.ကတိကဝတ်	က တိ က ဝတ်	ga- di. ka- wu'ကတိခံဝန်ချက်	က တိ ခံ ဝန် ချက်	ga- di. khan wun gye'ကတိခံဝန်ချုပ်	က တိ ခံ ဝန် ချုပ်	ga- di. khan wun gyou'ကတိစာချုပ်	က တိ စာ ချုပ်	ga- di. sa gyou'ကတိတည်	က တိ တည်	ga- di. tiကတိထား	က တိ ထား	ga- di. hta:ကတိပေး	က တိ ပေး	ga- di. pei:ကတိပျက်	က တိ ပျက်	ga- di. pje'ကတိပြု	က တိ ပြု	ga- di pju.ကတိဖျက်	က တိ ဖျက်	ga- di. hpje'ကတိသစ္စာပြု	က တိ သစ် စာ ပြု	ga- di. thi' sa pju.ကတိသစ္စာပြုပွဲ	က တိ သစ် စာ ပြု ပွဲ	ga- di. thi' sa pju. bwe:ကတိမ်းကပါးဖြစ်	က တိမ်း က ပါး ဖြစ်	ga- dein: ga- ba: hpji'ကတိမ်းကယိမ်း	က တိမ်း က ယိမ်း	ga- dein: ga- jein:ကတိုက်ကရိုက်	က တိုက် က ရိုက်	ga- dai' ga- jai'ကတိုး	က တိုး	ga- dou:ကတိုးခွာ	က တိုး ခွာ	ga- dou: khwaကတုတ်	က တုတ်	ga- dou'ကတုတ်ကျင်း	က တုတ် ကျင်း	ga- dou' kyin:ကတုန်ကယင်	က တုန် က ယင်	ga- doun ga- jinကတုန်းကတိုက်လုပ်	က တုန်း က တိုက် လုပ်	ga- doun: ga- dai' lou'ကတူး	က တူး	ga- du:ကတောကမျော	က တော က မျော	ga- do: ga- mjo:ကတောက်	က တောက်	ga- dau'ကတောက်ကဆတ်ဖြစ်	က တောက် က ဆတ် ဖြစ်	ga- dau' ga- hsa' hpji'ကတောက်ကတက်ဖြစ်	က တောက် က တက် ဖြစ်	ga- dau' ga- de' hpji'ကတောက်စပ်	က တောက် စပ်	ga- dau' sa'ကတောင်ချောက်ချားဖြစ်	က တောင် ချောက် ချား ဖြစ်	ga- daun chau' cha: hpji'ကတော့	က တော့	ga- do.ကတော့ပုံ	က တော့ ပုံ	ga- do. pounကတော်	က တော်	ga- doကတွတ်	က တွတ်	ga- du'ကတွတ်မုန့်	က တွတ် မုန့်	ga- du' moun.ကထိက	က ထိ က	ka- hti. ka.ကထိန်	က ထိန်	ka- hteinကဒတ်	က ဒတ်	ga- da'ကဒူဥ	က ဒူ ဥ	ka- du u.ကနကုတ်	က န ကုတ်	ka- na- gou'ကနခို	က န ခို	ka- na- khouကနစို	က န စို	ka- na- zou
ကနစိုး	က န စိုး	ka- na- zou:
ခြင်္သေ့မ	ခြင် သေ့ မ	chin dhei. ma.
ခြင်္သေ့လည်ပြန်	ခြင် သေ့ လည် ပြန်	chin dhei. le bjan
ခြင်းကြား	ခြင်း ကြား	chin: gya:
ခြင်းခတ်	ခြင်း ခတ်	chin: kha'
ခြင်းခြင်းနီ	ခြင်း ခြင်း နီ	chin: gyin: ni
ခြင်းတောင်း	ခြင်း တောင်း	chin: daun:
ခြင်းပေါင်းကား	ခြင်း ပေါင်း ကား	chin: baun: ga:
ခြင်းရာ	ခြင်း ရာ	chin: ja
ခြင်းရိုင်ခတ်	ခြင်း ရိုင် ခတ်	chin: jain kha'
ခြင်းလုံး	ခြင်း လုံး	chin: loun:
ခြစ်ခြစ်ကုတ်ကုတ်	ခြစ် ခြစ် ကုတ် ကုတ်	chi' chi' kou' kou'
ခြစ်ခြစ်ခြုတ်ခြုတ်	ခြစ် ခြစ် ခြုတ် ခြုတ်	chi' chi' chou' chou'
ခြစ်သား	ခြစ် သား	chi' tha:
ခြယ်မှုန်း	ခြယ် မှုန်း	che mhoun:
ခြယ်လှယ်	ခြယ် လှယ်	che lhe
ခြားနား	ခြား နား	cha: na:
ခြားနားချက်	ခြား နား ချက်	cha: na: gye'
ခြိမ့်ခြိမ့်	ခြိမ့် ခြိမ့်	chein. gyein.
ခြိမ့်ခြိမ့်သဲ	ခြိမ့် ခြိမ့် သဲ	chein. gyein. the:
ခြိမ်းခြောက်	ခြိမ်း ခြောက်	chein: gyau'
ခြိမ်းမောင်း	ခြိမ်း မောင်း	chein: maun:
ခြုတ်ခြယ်	ခြုတ် ခြယ်	chou' che
ခြုတ်ခြုတ်	ခြုတ် ခြုတ်	chou' gyou'
ခြုံငုံ	ခြုံ ငုံ	choun ngoun
ခြုံထည်	ခြုံ ထည်	choun de
ခြုံရုံ	ခြုံ ရုံ	choun joun
ခြူးပန်းခြူးနွယ်	ခြူး ပန်း ခြူး နွယ်	chu: ban: chu: nwe
ခြူးပိုက်ဆံ	ခြူး ပိုက် ဆံ	chu: pai' hsan
ခြူးပြား	ခြူး ပြား	chu: bja:
ခြူးသူ	ခြူး သူ	chu: dhu
ခြေကန်	ခြေ ကန်	chei kan
ခြေကန်	ခြေ ကန်	chi kan
ခြေကုန်	ခြေ ကုန်	chei goun
ခြေကုန်	ခြေ ကုန်	chei koun
ခြေကုန်	ခြေ ကုန်	chi goun
ခြေကုန်	ခြေ ကုန်	chi koun
ခြေကုန်လက်ပန်းကျ	ခြေ ကုန် လက် ပန်း ကျ	chei goun le' pan: kya.
ခြေကုန်လက်ပန်းကျ	ခြေ ကုန် လက် ပန်း ကျ	chi goun le' pan: kya.
ခြေကုန်သုတ်	ခြေ ကုန် သုတ်	chei goun thou'
ခြေကုန်သုတ်	ခြေ ကုန် သုတ်	chi goun thou'
ခြေကုပ်	ခြေ ကုပ်	chei gou'
ခြေကုပ်	ခြေ ကုပ်	chi gou'
ခြေကုပ်စခန်း	ခြေ ကုပ် စ ခန်း	chei gou' sa- khan:
ခြေကုပ်စခန်း	ခြေ ကုပ် စ ခန်း	chi gou' sa- khan:
ခြေကုပ်ယူ	ခြေ ကုပ် ယူ	chei gou' ju
ခြေကုပ်ယူ	ခြေ ကုပ် ယူ	chi gou' ju
ခြေကျ	ခြေ ကျ	chei kya.
ခြေကျ	ခြေ ကျ	chi kya.
ခြေကျင်	ခြေ ကျင်	chei gyin
ခြေကျင်	ခြေ ကျင်	chi gyin
ခြေကြွ	ခြေ ကြွ	chei gywa.
ခြေကြွ	ခြေ ကြွ	chi gywa.
ခြေခလယ်	ခြေ ခ လယ်	chei kha le
ခြေခလယ်	ခြေ ခ လယ်	chi kha le
ခြေခင်းလက်ခင်း	ခြေ ခင်း လက် ခင်း	chei gin: le' khin:
ခြေခင်းလက်ခင်း	ခြေ ခင်း လက် ခင်း	chi gin: le' khin:
ခြေခုံ	ခြေ ခုံ	chei goun
ခြေခုံ	ခြေ ခုံ	chi goun
ခြေချ	ခြေ ချ	chei cha.
ခြေချ	ခြေ ချ	chi cha.
ခြေချင်း	ခြေ ချင်း	chei gyin:
ခြေချင်း	ခြေ ချင်း	chi gyin:
ခြေချင်းခတ်	ခြေ ချင်း ခတ်	chei gyin: kha'
ခြေချင်းခတ်	ခြေ ချင်း ခတ်	chi gyin: kha'
ခြေချင်းလိမ်	ခြေ ချင်း လိမ်	chei gyin: lein
ခြေချင်းလိမ်	ခြေ ချင်း လိမ်	chi gyin: lein
ခြေချင်းဝတ်	ခြေ ချင်း ဝတ်	chei gyin: wu'
ခြေချင်းဝတ်	ခြေ ချင်း ဝတ်	chi gyin: wu'
ခြေချုပ်	ခြေ ချုပ်	chei gyou'
ခြေချုပ်	ခြေ ချုပ်	chi gyou'
ခြေချုပ်မိ	ခြေ ချုပ် မိ	chei gyou' mi.
ခြေချုပ်မိ	ခြေ ချုပ် မိ	chi gyou' mi.
ခြေချော်လက်ချော်	ခြေ ချော် လက် ချော်	chei gyo le' gyo
ခြေချော်လက်ချော်	ခြေ ချော် လက် ချော်	chi gyo le' gyo
ခြေခြေမြစ်မြစ်	ခြေ ခြေ မြစ် မြစ်	chei gyei mji' mji'
ခြေခွင်	ခြေ ခွင်	chei gwin
ခြေခွင်	ခြေ ခွင်	chei khwin
ခြေခွင်	ခြေ ခွင်	chi gwin
ခြေခွင်	ခြေ ခွင်	chi khwin
ခြေခွင်ရိုက်	ခြေ ခွင် ရိုက်	chei gwin jai'
ခြေခွင်ရိုက်	ခြေ ခွင် ရိုက်	chi gwin jai'
ခြေစလက်စ	ခြေ စ လက် စ	chei za. le' sa.
ခြေစလက်စ	ခြေ စ လက် စ	chi za. le' sa.
ခြေစစ်ပွဲ	ခြေ စစ် ပွဲ	chei zi' pwe:
ခြေစစ်ပွဲ	ခြေ စစ် ပွဲ	chi zi' pwe:
ခြေစမ်းပွဲ	ခြေ စမ်း ပွဲ	chei san: bwe:
ခြေစမ်းပွဲ	ခြေ စမ်း ပွဲ	chi san: bwe:
ခြေစုံပစ်ဝင်	ခြေ စုံ ပစ် ဝင်	chei zoun pji' win
ခြေစုံပစ်ဝင်	ခြေ စုံ ပစ် ဝင်	chi zoun pji' win
ခြေစောင့်လက်စောင့်	ခြေ စောင့် လက် စောင့်	chei zaun. le' saun.
ခြေစောင့်လက်စောင့်	ခြေ စောင့် လက် စောင့်	chi zaun. le' saun.
ခြေစွပ်	ခြေ စွပ်	chei zu'
ခြေစွပ်	ခြေ စွပ်	chi zu'
ခြေဆင်း	ခြေ ဆင်း	chei hsin:
ခြေဆင်း	ခြေ ဆင်း	chei zin:
ခြေဆင်း	ခြေ ဆင်း	chi hsin:
ခြေဆင်း	ခြေ ဆင်း	chi zin:
ခြေဆင်းလဲလူနေ	ခြေ ဆင်း လဲ လူ နေ	chei zin: le: lu nei
ခြေဆင်းလဲလူနေ	ခြေ ဆင်း လဲ လူ နေ	chi zin: le: lu nei
ခြေဆုပ်လက်နယ်ပြု	ခြေ ဆုပ် လက် နယ် ပြု	chei zou' le' ne pju.
ခြေဆုပ်လက်နယ်ပြု	ခြေ ဆုပ် လက် နယ် ပြု	chi zou' le' ne pju.
ခြေဆုံးခေါင်းဆုံး	ခြေ ဆုံး ခေါင်း ဆုံး	chei zoun: gaun: zoun:
ခြေဆုံးခေါင်းဆုံး	ခြေ ဆုံး ခေါင်း ဆုံး	chi zoun: gaun: zoun:
ခြေဆော့လက်ဆော့နိုင်	ခြေ ဆော့ လက် ဆော့ နိုင်	chei zo. le' hso. nain
ခြေဆော့လက်ဆော့နိုင်	ခြေ ဆော့ လက် ဆော့ နိုင်	chi zo. le' hso. nain
ခြေဆံလက်ဆံ	ခြေ ဆံ လက် ဆံ	chei zan le' hsan
ခြေဆံလက်ဆံ	ခြေ ဆံ လက် ဆံ	chi zan le' hsan
ခြေညောင်းလက်ဆန့်	ခြေ ညောင်း လက် ဆန့်	chei njaun: le' hsan.
ခြေညောင်းလက်ဆန့်	ခြေ ညောင်း လက် ဆန့်	chi njaun: le' hsan.
ခြေညှိုး	ခြေ ညှိုး	chei njhou:
ခြေညှိုး	ခြေ ညှိုး	chi njhou:
ခြေတစ်ပေါင်ကျိုး	ခြေ တစ် ပေါင် ကျိုး	chei da- baun gyou:
ခြေတစ်ပေါင်ကျိုး	ခြေ တစ် ပေါင် ကျိုး	chi da- baun gyou:
ခြေတို	ခြေ တို	chei tou
ခြေတို	ခြေ တို	chi tou
ခြေထိတ်	ခြေ ထိတ်	chei dei'
ခြေထိတ်	ခြေ ထိတ်	chi dei'
ခြေထိုး	ခြေ ထိုး	chei htou:
ခြေထိုး	ခြေ ထိုး	chi htou:
ခြေထောက်	ခြေ ထောက်	chei dau'
ခြေထောက်	ခြေ ထောက်	chi dau'
ခြေနင်း	ခြေ နင်း	chei nin:
ခြေနင်း	ခြေ နင်း	chi nin:
ခြေနင်းကွင်း	ခြေ နင်း ကွင်း	chei nin: gwin:
ခြေနင်းကွင်း	ခြေ နင်း ကွင်း	chi nin: gwin:
ခြေနင်းခုံ	ခြေ နင်း ခုံ	chei nin: goun
ခြေနင်းခုံ	ခြေ နင်း ခုံ	chi nin: goun
ခြေနင်းဖတ်	ခြေ နင်း ဖတ်	chei nin: ba'
ခြေနင်းဖတ်	ခြေ နင်း ဖတ်	chi nin: ba'
ခြေနိုင်လက်နိုင်	ခြေ နိုင် လက် နိုင်	chei nain le' nain
ခြေနိုင်လက်နိုင်	ခြေ နိုင် လက် နိုင်	chi nain le' nain
ခြေပစ်လက်ပစ်	ခြေ ပစ် လက် ပစ်	chei bji' le' pji'
ခြေပစ်လက်ပစ်	ခြေ ပစ် လက် ပစ်	chi bji' le' pji'
ခြေပုန်းခုတ်	ခြေ ပုန်း ခုတ်	chei boun: khou'
ခြေပုန်းခုတ်	ခြေ ပုန်း ခုတ်	chi boun: khou'
ခြေပေါ်	ခြေ ပေါ်	chei po
ခြေပေါ်	ခြေ ပေါ်	chi po
ခြေပွတ်တိုင်လည်	ခြေ ပွတ် တိုင် လည်	chei bu' tain le
ခြေပွတ်တိုင်လည်	ခြေ ပွတ် တိုင် လည်	chi bu' tain le
ခြေပွားလက်ပွား	ခြေ ပွား လက် ပွား	chei bwa: le' pwa:
ခြေပွားလက်ပွား	ခြေ ပွား လက် ပွား	chi bwa: le' pwa:
ခြေဖနောင့်	ခြေ ဖ နောင့်	chei ba- naun.
ခြေဖနောင့်	ခြေ ဖ နောင့်	chi ba- naun.
ခြေဖမိုး	ခြေ ဖ မိုး	chei ba- mou:
ခြေဖမိုး	ခြေ ဖ မိုး	chi ba- mou:
ခြေဖမျက်	ခြေ ဖ မျက်	chei ba- mje'
ခြေဖမျက်	ခြေ ဖ မျက်	chi ba- mje'
ခြေဖဝါး	ခြေ ဖ ဝါး	chei ba- wa:
ခြေဖဝါး	ခြေ ဖ ဝါး	chi ba- wa:
ခြေဖျားထောက်	ခြေ ဖျား ထောက်	chei bja: htau'
ခြေဖျားထောက်	ခြေ ဖျား ထောက်	chi bja: htau'
ခြေမ	ခြေ မ	chei ma.
ခြေမ	ခြေ မ	chi ma.
ခြေမကိုင်မိလက်မကိုင်မိဖြစ်	ခြေ မ ကိုင် မိ လက် မ ကိုင် မိ ဖြစ်	chei ma- kain mi. le' ma- kain mi. hpji'
ခြေမကိုင်မိလက်မကိုင်မိဖြစ်	ခြေ မ ကိုင် မိ လက် မ ကိုင် မိ ဖြစ်	chi ma- kain mi. le' ma- kain mi. hpji'
ခြေမျက်စိ	ခြေ မျက် စိ	chei mje' si.
ခြေမျက်စိ	ခြေ မျက် စိ	chi mje' si.
ခြေများ	ခြေ များ	chei mja:
ခြေများ	ခြေ များ	chi mja:
ခြေမြန်	ခြေ မြန်	chei mjan
ခြေမြန်	ခြေ မြန်	chi mjan
ခြေမြန်တပ်	ခြေ မြန် တပ်	chei mjan ta'
ခြေမြန်တပ်	ခြေ မြန် တပ်	chi mjan ta'
ခြေမြန်တော်	ခြေ မြန် တော်	chei mjan do
ခြေမြန်တော်	ခြေ မြန် တော်	chi mjan do
ခြေမွေးမီးမလောင်လက်မွေးမီးမလောင်	ခြေ မွေး မီး မ လောင် လက် မွေး မီး မ လောင်	chei mwei: mi: ma- laun le' mwei: mi: ma- laun
ခြေမွေးမီးမလောင်လက်မွေးမီးမလောင်	ခြေ မွေး မီး မ လောင် လက် မွေး မီး မ လောင်	chi mwei: mi: ma- laun le' mwei: mi: ma- laun
ခြေမွှ	ခြေ မွှ	chei mhwa.
ခြောက်ကပ်	ခြောက် ကပ်	chau' ka'
ခြောက်ခန်း	ခြောက် ခန်း	chau' khan:
ခြောက်တစ်	ခြောက် တစ်	chau' ti'
ခြောက်တစ်မ	ခြောက် တစ် မ	chau' ti' ma.
ခြောက်ပေါက်	ခြောက် ပေါက်	chau' pau'
ခြောက်ပေါက်မ	ခြောက် ပေါက် မ	chau' pau' ma.
ခြောက်ပြစ်ကင်းသဲလဲစင်	ခြောက် ပြစ် ကင်း သဲ လဲ စင်	chau' pji' kin: the: le: sin
ခြောက်လုံးပတ်	ခြောက် လုံး ပတ်	chau' loun: ba'
ခြောက်လုံးပြူး	ခြောက် လုံး ပြူး	chau' loun: bju:
ခြောက်လုံးလှန့်လုံး	ခြောက် လုံး လှန့် လုံး	chau' loun: lhan. loun:
ခြောက်လှန့်	ခြောက် လှန့်	chau' lhan.
ခြောက်သယောင်း	ခြောက် သ ယောင်း	chau' tha- jaun
ခြောက်သွယ်ညွန့်	ခြောက် သွယ် ညွန့်	chau' thwe njun.
ခြောက်သွေ့	ခြောက် သွေ့	chau' thwei.
ခြောင်းခြောင်းထွက်	ခြောင်း ခြောင်း ထွက်	chaun: gyaun: htwe'
ခြွင်းချက်	ခြွင်း ချက်	chwin: gye'
ခြွေရံသင်းပင်း	ခြွေ ရံ သင်း ပင်း	chwei jan thin: pin:
ခွကျ	ခွ ကျ	gwa. kya.
ခွကွက်	ခွ ကွက်	khwa. gwe'
ခွစာ	ခွ စာ	gwa. za
ခွဆုံ	ခွ ဆုံ	gwa. zoun
ခွတို	ခွ တို	gwa. dou
ခွတိုက်	ခွ တိုက်	gwa. tai'
ခွတီးခွတိုက်	ခွ တီး ခွ တိုက်	gwa. ti: gwa. tai'
ခွရှင်	ခွ ရှင်	gwa. shin
ခွက်ကပ်	ခွက် ကပ်	khwe' ka'
ခွက်ချင်းပြီးဆေး	ခွက် ချင်း ပြီး ဆေး	khwe' chin: bi: hsei:
ခွက်ခြင်	ခွက် ခြင်	khwe' chin
ခွက်ခွက်လန်	ခွက် ခွက် လန်	khwe' khwe' lan
ခွက်ခွင်း	ခွက် ခွင်း	khwe' khwin:
ခွက်စောင်းခုတ်	ခွက် စောင်း ခုတ်	khwe' saun: khou'
ခွက်ထိုးခွက်လန်ရယ်	ခွက် ထိုး ခွက် လန် ရယ်	khwe' htou: khwe' lan ji
ခွက်ပုန်းသမား	ခွက် ပုန်း သ မား	khwe' poun: dha- ma:
ခွင့်တိုင်	ခွင့် တိုင်	khwin. tain
ခွင့်တောင်း	ခွင့် တောင်း	khwin. taun:
ခွင့်ပန်	ခွင့် ပန်	khwin. pan
ခွင့်ပေး	ခွင့် ပေး	khwin. pei:
ခွင့်ပြု	ခွင့် ပြု	khwin. pju.
ခွင့်ပြုချက်	ခွင့် ပြု ချက်	khwin. pju. gye'
ခွင့်ပြုမိန့်	ခွင့် ပြု မိန့်	khwin. pju. mein.
ခွင့်ယူ	ခွင့် ယူ	khwin. ju
ခွင့်ရက်ရှည်	ခွင့် ရက် ရှည်	khwin. je' shei
ခွင့်လွှတ်	ခွင့် လွှတ်	khwin. lhu'
ခွင့်သွား	ခွင့် သွား	khwin. thwa:
ခွင်ကျ	ခွင် ကျ	gwin kya.
ခွင်ရာ	ခွင် ရာ	gwin ja
ခွင်လုံးကျွတ်	ခွင် လုံး ကျွတ်	gwin loun: gyu'
ခွင်းချေ	ခွင်း ချေ	khwin: chei
ခွန်စိုက်အားစိုက်	ခွန် စိုက် အား စိုက်	khun zai' a: zai'
ခွန်ရှင်	ခွန် ရှင်	khun shin
ခွန်သေ	ခွန် သေ	khun dhei
ခွန်အား	ခွန် အား	khu na:
ခွန်းကြီးခွန်းငယ်ပြော	ခွန်း ကြီး ခွန်း ငယ် ပြော	khun: gyi: khun: nge pjo:
ခွန်းတုံ့ပြန်	ခွန်း တုံ့ ပြန်	khun: toun. pjan
ခွန်းထောက်	ခွန်း ထောက်	khun: dau'
ခွပ်လက်	ခွပ် လက်	khu' le'
ခွာစစ်	ခွာ စစ်	khwa zi'
ခွာညို	ခွာ ညို	khwa njou
ခွာတိုင်	ခွာ တိုင်	khwa dain
ခွာထား	ခွာ ထား	khwa hta:
ခွာနာလျှာနာ	ခွာ နာ လျှာ နာ	khwa na sha na
ခွာပြာ	ခွာ ပြာ	khwa bja
ခွာပြဲ	ခွာ ပြဲ	khwa pje:
ခွာရည်စီး	ခွာ ရည် စီး	khwa ji si:
ခွာရည်သောက်	ခွာ ရည် သောက်	khwa ji thau'
ခွာရာ	ခွာ ရာ	khwa ja
ခွာရာတိုင်း	ခွာ ရာ တိုင်း	khwa ja tain:
ခွာရှပ်	ခွာ ရှပ်	khwa sha'
ခွာလိပ်	ခွာ လိပ်	khwa lei'
ခွာအိုး	ခွာ အိုး	khwa ou:
ခွေယိုင်	ခွေ ယိုင်	khwei jain
ခွေးကတက်	ခွေး က တက်	khwei: ga- de'
ခွေးကလေး	ခွေး က လေး	khwei: ga- lei:
ခွေးကူး	ခွေး ကူး	khwei: gu:
ခွေးကျကျ	ခွေး ကျ ကျ	khwei: gya. kya.
ခွေးကျင့်ခွေးကြံကြံ	ခွေး ကျင့် ခွေး ကြံ ကြံ	khwei: gyin. khwei: gyan kyan
ခွေးခေါ်ရစ်	ခွေး ခေါ် ရစ်	khwei: kho ji'
ခွေးခြေ	ခွေး ခြေ	khwei: chi
ခွေးဂရင်ဂျီနာ	ခွေး ဂ ရင် ဂျီ နာ	khwei: ga- jin gyi na
ခွေးစားဝက်စား	ခွေး စား ဝက် စား	khwei: za: we' sa:
ခွေးဆွဲ	ခွေး ဆွဲ	khwei: zwe:
ခွေးဇာတ်ခင်း	ခွေး ဇာတ် ခင်း	khwei: za' khin:
ခွေးတရော်	ခွေး တ ရော်	khwei: ta- jo
ခွေးတိုး	ခွေး တိုး	khwei: do:
ခွေးတိုးပေါက်	ခွေး တိုး ပေါက်	khwei: dou: bau'
ခွေးတိုးဝက်ဝင်	ခွေး တိုး ဝက် ဝင်	khwei: dou: we' win
ခွေးတူဝက်တူ	ခွေး တူ ဝက် တူ	khwei: du we' tu
ခွေးတောက်	ခွေး တောက်	khwei: dau'
ခွေးပြေးဝက်ပြေးပြေး	ခွေး ပြေး ဝက် ပြေး ပြေး	khwei: bjei: we' pjei: pjei:
ခွေးဖြစ်	ခွေး ဖြစ်	khwei: hpji'
ခွေးဘီလူး	ခွေး ဘီ လူး	khwei: ba- lu:
ခွေးမ	ခွေး မ	khwei: ma.
ခွေးမသား	ခွေး မ သား	khwei: ma. dha:
ခွေးမျိုး	ခွေး မျိုး	khwei: mjou:
ခွေးမြီးပုတ်	ခွေး မြီး ပုတ်	khwei: mi: bou'
ခွေးရူး	ခွေး ရူး	khwei: ju:
ခွေးရူးပြန်	ခွေး ရူး ပြန်	khwei: ju: pjan
ခွေးရူးပြန်ရောဂါ	ခွေး ရူး ပြန် ရော ဂါ	khwei: ju: bjan jo: ga
ခွေးလေခွေးလွင့်	ခွေး လေ ခွေး လွင့်	khwei: lei khwei: lwin.
ခွေးလျှာ	ခွေး လျှာ	khwei: sha
ခွေးလှေး	ခွေး လှေး	khwei: lhei:
ခွေးလှေးကြမ်းပိုး	ခွေး လှေး ကြမ်း ပိုး	khwei: lhei: gya- bou:
ခွေးလှေးပျား	ခွေး လှေး ပျား	khwei: lhei: pja:
ခွေးလှေးယား	ခွေး လှေး ယား	khwei: l ja:
ခွေးဝင်စား	ခွေး ဝင် စား	khwei: win za:
ခွေးသဘင်	ခွေး သ ဘင်	khwei: dha- bin
ခွေးသမင်	ခွေး သ မင်	khwei: tha- min
ခွေးသွားစိပ်	ခွေး သွား စိပ်	khwei: thwa: zei'
ခွေးအိမ်	ခွေး အိမ်	khwei: ein
ခွဲခြမ်း	ခွဲ ခြမ်း	khwe: gyan:
ခွဲခြမ်းခွဲခြမ်းလုပ်	ခွဲ ခြမ်း ခွဲ ခြမ်း လုပ်	khwe: gyan: khwe: gyan: lou'
ခွဲခြား	ခွဲ ခြား	khwe: gya:
ခွဲခွာ	ခွဲ ခွာ	khwe: khwa
ခွဲစိတ်	ခွဲ စိတ်	khwe: sei'
ခွဲစိတ်ကုဆရာဝန်	ခွဲ စိတ် ကု ဆ ရာ ဝန်	khwe: sei' ku. sa- ja win
ခွဲစိတ်ကုပညာ	ခွဲ စိတ် ကု ပ ညာ	khwe: sei' ku. pjin nja
ခွဲစိတ်ခန်း	ခွဲ စိတ် ခန်း	khwe: sei' khan:
ခွဲတမ်း	ခွဲ တမ်း	khwe: dan:
ခွဲထား	ခွဲ ထား	khwe: da:
ခွဲထွက်	ခွဲ ထွက်	khwe: htwe'
ခွဲဝေ	ခွဲ ဝေ	khwe: wei
ခွံနီ	ခွံ နီ	khun ni
ခွံပြောင်း	ခွံ ပြောင်း	khun bjaun:
ခွံဝါ	ခွံ ဝါ	khun wa
ဂဃနဏ	ဂ ဃ န ဏ	ga. ga. na. na.
ဂငယ်	ဂ ငယ်	ga. nge
ဂငယ်ကွေ့	ဂ ငယ် ကွေ့	ga. nge gwei.
ဂဇသျှတ္တရ	ဂ ဇ သျှတ် တ ရ	ga- za sha' ta- ra.
ဂဇာ	ဂ ဇာ	ga- za
ဂဏန်း	ဂ ဏန်း	ga- nan:
ဂဏန်းခြေ	ဂ ဏန်း ခြေ	ga- nan: gyei
ဂဏန်းတွက်	ဂ ဏန်း တွက်	ga- nan: twe'
ဂဏန်းတွက်စက်	ဂ ဏန်း တွက် စက်	ga- nan: twe' se'
